datetime,x,y,z,gyrx,gyry,gyrz,magx,magy,magz,annotation,a,b
38.2,0.684326172,0.771728516,0.377929688,0.0,-33.14208984,-59.92126465,-23.54041514,-4.947985348,-55.02759463,0,,
38.2,1.064453125,1.652099609,0.09765625,0.0,3.09753418,13.12255859,-23.54041514,-4.947985348,-55.02759463,0,,
38.2,1.028564453,1.818603516,0.346679688,0.0,-46.38671875,38.98620605,-23.54041514,-4.947985348,-55.02759463,0,,
38.2,0.73046875,1.29296875,0.693847656,0.0,-64.01062012,34.10339355,-23.54041514,-4.947985348,-55.02759463,0,,
38.2,0.584228516,0.668457031,0.700683594,0.0,-60.71472168,12.77160645,-23.54041514,-4.947985348,-55.02759463,0,,
38.2,0.209960938,-0.382568359,0.469238281,0.0,-58.15124512,13.41247559,-23.54041514,-4.947985348,-55.02759463,0,,
38.2,0.007080078,-1.009033203,0.389892578,0.0,-76.78222656,39.74914551,-23.54041514,-4.947985348,-55.02759463,0,,
38.3,0.079345703,-1.244384766,0.797119141,0.0,-131.1798096,79.16259766,-23.54041514,-4.947985348,-55.02759463,1,,
38.3,0.494384766,-0.817382813,0.051269531,0.0,-81.77185059,48.32458496,-10.1958486,-9.596092796,-55.77728938,0,,
38.3,0.326416016,-1.073730469,0.411621094,0.0,-44.00634766,4.013061523,-10.1958486,-9.596092796,-55.77728938,0,,
38.3,0.29296875,-1.0,1.109619141,0.0,-77.22473145,-18.50891113,-10.1958486,-9.596092796,-55.77728938,0,,
38.3,0.410644531,-0.631103516,0.345214844,0.0,-104.9346924,-12.19177246,-10.1958486,-9.596092796,-55.77728938,0,,
38.3,0.550292969,-0.331542969,0.025634766,0.0,-108.6730957,-6.591796875,-10.1958486,-9.596092796,-55.77728938,0,,
38.3,0.623535156,-0.068603516,-0.091796875,0.0,-96.75598145,-3.982543945,-10.1958486,-9.596092796,-55.77728938,0,,
38.3,0.78125,0.228759766,0.164550781,3.90625,-93.50585938,-0.930786133,-10.1958486,-9.596092796,-55.77728938,0,,
38.4,0.915771484,0.446777344,0.504882813,0.0,-93.78051758,8.46862793,-10.1958486,-9.596092796,-55.77728938,0,,
38.4,1.202148438,0.653320313,0.783447266,0.0,-91.72058105,19.95849609,-10.1958486,-9.596092796,-55.77728938,0,,
38.4,1.323242188,0.673339844,0.566650391,0.0,-66.02478027,10.80322266,-23.54041514,-16.04346764,-59.52576313,0,,
38.4,1.457275391,0.689453125,0.127685547,0.0,-62.59155273,8.163452148,-23.54041514,-16.04346764,-59.52576313,0,,
38.4,1.604736328,0.728271484,-0.033203125,0.0,-58.19702148,5.37109375,-23.54041514,-16.04346764,-59.52576313,0,,
38.4,1.857910156,0.845703125,-0.135742188,0.0,-20.03479004,6.958007813,-23.54041514,-16.04346764,-59.52576313,0,,
38.4,1.804931641,0.823242188,-0.070068359,0.0,5.279541016,8.346557617,-23.54041514,-16.04346764,-59.52576313,0,,
38.5,1.614746094,0.720703125,0.05859375,0.0,23.97155762,6.790161133,-23.54041514,-16.04346764,-59.52576313,0,,
38.5,1.220214844,0.576660156,0.171142578,0.0,40.25268555,-0.854492188,-23.54041514,-16.04346764,-59.52576313,0,,
38.5,0.983398438,0.562255859,0.164306641,0.0,47.08862305,-7.598876953,-23.54041514,-16.04346764,-59.52576313,0,,
38.5,0.522216797,0.712646484,0.077392578,0.0,47.7142334,-11.96289063,-23.54041514,-16.04346764,-59.52576313,0,,
38.5,0.299804688,0.801269531,0.044677734,0.0,40.89355469,-5.584716797,-23.54041514,-16.04346764,-59.52576313,0,,
38.5,0.050048828,0.855712891,0.025146484,0.0,25.90942383,1.754760742,-27.88864469,-14.39413919,-58.17631258,0,,
38.5,0.001953125,0.752197266,0.156005859,0.0,13.83972168,6.683349609,-27.88864469,-14.39413919,-58.17631258,0,,
38.5,0.081054688,0.442626953,0.519775391,0.0,9.521484375,12.78686523,-27.88864469,-14.39413919,-58.17631258,0,,
38.6,0.068847656,0.290527344,0.798583984,0.0,20.67565918,23.78845215,-27.88864469,-14.39413919,-58.17631258,0,,
38.6,0.034423828,0.487548828,0.729003906,0.0,23.22387695,29.20532227,-27.88864469,-14.39413919,-58.17631258,0,,
38.6,-0.009277344,0.660888672,0.640869141,0.0,20.29418945,32.76062012,-27.88864469,-14.39413919,-58.17631258,0,,
38.6,0.159912109,0.645019531,0.717041016,0.0,13.97705078,39.52026367,-27.88864469,-14.39413919,-58.17631258,0,,
